k,canberra_complete,canberra_average,canberra_single,euclidean_complete
2,1.501569788,1.501616593,1.501569788,7.692143722
3,3.606911041,1.503941381,1.503941381,7.015859846
4,2.998588962,1.503030081,1.501282112,6.835561326
5,2.569776754,1.49774912,1.495556405,6.96360941
6,2.954929231,1.49433057,1.490387018,6.442801537
7,4.408275964,1.671271573,1.494475428,5.80848162
8,4.715321902,1.862864707,1.493806032,6.033952709
9,5.98051017,1.788840489,1.491188444,6.20183053
10,14.18164749,1.869631894,1.660064167,6.001346022
11,16.70371978,1.811257057,1.680296764,6.088814706
12,15.58725372,2.408769177,1.666197061,6.118388052
13,16.26482358,2.335439458,1.654872221,5.803737242
14,16.69665805,2.297906449,1.644939127,5.646934247
15,15.71977345,2.239280954,1.634911855,5.49543364
16,14.93670281,2.175253636,1.602359766,5.406999971
17,14.28271975,2.21317067,1.598405634,5.343278461
18,16.59786312,2.157560643,1.591436538,5.267006904
19,15.84624731,2.109822722,1.586004498,5.166099389
20,15.15317683,2.078169145,1.576719089,5.096286243
21,14.56151221,2.047339066,1.570684829,4.973777538
22,14.07564397,2.411874765,1.562621082,4.880085898
23,13.70499935,2.360311942,1.68903932,4.877303641
24,13.25414671,2.333491056,1.685602772,4.798561309
25,12.83466561,2.43608453,1.677808016,4.731989848
26,12.45487461,2.390148145,1.674988993,4.618606925
27,12.24876814,2.376773536,1.670767792,4.572337294
28,11.90173994,2.423847359,1.662324102,4.540929107
29,13.12237385,2.391726205,1.655380877,4.491083413
30,13.60592787,2.357824189,1.650796958,4.42878935
31,13.29410822,2.346526222,1.648443995,4.356311829
32,13.05594673,2.32733955,1.641804062,4.274646636
33,12.79814437,3.023071973,1.68641714,4.21504657
34,12.51618839,2.977297041,1.680430069,4.13981607
35,12.29096939,2.929625502,1.67470485,4.081287804
36,12.15363673,2.890472396,1.66615752,4.008103896
37,12.03248805,2.851973129,1.662306038,3.985962005
38,11.84750194,2.815058425,1.66062266,3.946851601
39,11.63241159,2.795573004,1.762910989,3.899685625
40,11.42898682,2.776898718,1.79100547,3.86344638
41,11.37019106,2.756203283,1.786841934,3.833004326
42,11.19729131,2.725038482,1.775110842,3.846284088
43,11.08019627,2.697559059,1.777337506,3.806239462
44,10.94107742,2.672534906,1.772089639,3.84870637
45,10.82430983,5.250124358,1.769990585,3.8160122
46,10.69183439,5.179503884,1.764913449,3.8205023
47,10.54392783,5.12361693,1.761857492,3.814120707
48,10.43980592,5.06953197,1.756276672,3.779137837
49,10.32572399,5.003223692,1.749027254,3.811927161
50,10.19613702,4.964427265,1.74342993,3.787014147